,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,latitude,longitude,region_id,province_id,province_name
284074,12-04-2010,18.0,30.8,23.6,74.0,21.0,7.8,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284075,13-04-2010,19.0,30.6,26.0,75.0,0.0,7.9,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284076,14-04-2010,21.0,30.2,24.6,77.0,0.0,6.0,5.0,270.0,3.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284077,15-04-2010,20.0,30.5,25.0,80.0,6.2,6.3,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284078,16-04-2010,21.0,27.6,24.4,82.0,3.5,2.2,2.0,270.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284079,17-04-2010,21.0,29.8,24.5,79.0,0.5,5.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284080,18-04-2010,21.0,29.0,24.1,77.0,0.0,6.3,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284081,19-04-2010,21.0,29.6,24.4,75.0,0.0,8.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284082,20-04-2010,20.0,30.9,24.6,75.0,0.0,8.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284083,21-04-2010,20.0,31.3,25.7,72.0,0.0,8.0,3.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284084,22-04-2010,21.0,31.2,25.9,76.0,,8.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284085,23-04-2010,23.0,29.0,25.2,77.0,0.0,4.2,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284086,24-04-2010,22.0,31.4,25.3,78.0,0.0,6.0,6.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284087,25-04-2010,21.0,31.8,25.2,71.0,0.8,6.3,2.0,90.0,1.0,SE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284088,26-04-2010,20.0,32.0,25.9,72.0,0.0,6.7,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284089,27-04-2010,22.0,30.0,24.8,79.0,0.5,5.0,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284090,28-04-2010,23.0,28.6,24.7,78.0,0.0,4.8,4.0,270.0,2.0,E ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284091,29-04-2010,21.0,30.8,24.8,78.0,1.6,6.7,4.0,180.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284092,30-04-2010,20.0,31.2,24.5,80.0,2.1,6.4,3.0,225.0,2.0,E ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284093,01-05-2010,20.0,31.6,25.4,78.0,3.0,5.6,4.0,135.0,3.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284094,02-05-2010,22.0,29.8,24.7,81.0,0.0,4.6,3.0,45.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284095,03-05-2010,21.0,30.0,24.5,79.0,0.0,3.8,3.0,270.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284096,04-05-2010,21.0,29.0,24.4,81.0,3.7,3.6,3.0,45.0,3.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284097,05-05-2010,21.0,29.7,23.6,86.0,0.0,2.5,3.0,45.0,1.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284098,06-05-2010,20.0,29.4,24.2,78.0,3.4,4.3,2.0,90.0,2.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284099,07-05-2010,20.0,30.0,24.0,81.0,0.0,5.9,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284100,08-05-2010,21.0,28.0,23.2,88.0,18.0,1.6,4.0,360.0,2.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284101,09-05-2010,20.0,29.7,24.0,80.0,15.5,6.8,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284102,10-05-2010,20.0,29.6,24.3,83.0,,1.7,1.0,90.0,0.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284103,11-05-2010,21.0,29.0,24.1,91.0,11.7,5.2,3.0,270.0,2.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284104,12-05-2010,21.0,29.2,24.8,88.0,,5.5,3.0,270.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284105,13-05-2010,21.0,28.4,23.3,90.0,3.5,2.8,2.0,90.0,1.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284106,14-05-2010,21.0,28.3,23.1,91.0,92.0,2.4,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284107,15-05-2010,20.0,30.4,23.8,90.0,40.9,6.6,5.0,270.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284108,16-05-2010,20.0,27.7,22.5,94.0,4.5,0.6,2.0,270.0,2.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284109,17-05-2010,21.0,28.8,24.2,88.0,18.0,4.3,3.0,270.0,3.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284110,18-05-2010,22.0,30.0,25.4,79.0,0.0,7.7,3.0,270.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
